x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-0.0279,0,0.276,0.0028,5,0,0,0,0,0
0.9721,0.0029,0.276,0.0029,5,0,0,0,0,0
1.9721,0.0058,0.276,0.0029,5,0,0,0,0,0
2.9721,0.0087,0.276,0.0029,5,0,0,0,0,0
3.9721,0.0116,0.276,0.0029,5,0,0,0,0,0
4.9721,0.0145,0.276,0.0029,5,0,0,0,0,0
5.9721,0.0174,0.276,0.0029,5,0,0,0,0,0
6.9721,0.0203,0.276,0.0029,5,0,0,0,0,0
7.9721,0.0232,0.276,0.0029,5,0,0,0,0,0
8.9721,0.0261,0.276,0.0029,5,0,0,0,0,0
9.9721,0.029,0.276,0.0029,5,0,0,0,0,0
10.9721,0.0319,0.276,0.0029,5,0,0,0,0,0
11.9721,0.0348,0.276,0.0029,5,0,0,0,0,0
12.9721,0.0381,0.276,0.0016,5,0,0,0,0,0
13.9721,0.0413,0.276,-0.0076,5,0,0,0,0,0
14.972,0.0294,0.276,-0.0213,5,0,0,0,0,0
15.9715,0,0.276,-0.0391,5,0,0,0,0,0
16.9705,-0.0444,0.276,-0.0634,5,0,0,0,0,0
17.9676,-0.1194,0.276,-0.0917,5,0,0,0,0,0
18.9618,-0.2264,0.276,-0.1257,5,0,0,0,0,0
19.9515,-0.3687,0.276,-0.1603,5,0,0,0,0,0
20.9357,-0.5457,0.276,-0.1957,5,0,0,0,0,0
21.913,-0.7574,0.276,-0.2309,5,0,0,0,0,0
22.8822,-1.0034,0.276,-0.2661,5,0,0,0,0,0
23.8422,-1.2834,0.276,-0.3012,5,0,0,0,0,0
24.7917,-1.5968,0.276,-0.3362,5,0,0,0,0,0
25.7298,-1.9431,0.276,-0.3711,5,0,0,0,0,0
26.6552,-2.322,0.276,-0.4061,5,0,0,0,0,0
27.5668,-2.733,0.276,-0.441,5,0,0,0,0,0
28.4635,-3.1755,0.276,-0.4758,5,0,0,0,0,0
29.3442,-3.649,0.276,-0.5104,5,0,0,0,0,0
30.2081,-4.1527,0.276,-0.5448,5,0,0,0,0,0
31.0541,-4.6857,0.276,-0.5765,5,0,0,0,0,0
31.881,-5.2482,0.276,-0.6012,5,0,0,0,0,0
32.6987,-5.8238,0.276,-0.6229,5,0,0,0,0,0
33.5053,-6.415,0.276,-0.6375,5,0,0,0,0,0
34.3006,-7.0213,0.276,-0.6464,5,0,0,0,0,0
35.0967,-7.6264,0.276,-0.6517,5,0,0,0,0,0
35.8911,-8.2338,0.276,-0.6522,5,0,0,0,0,0
36.6854,-8.8413,0.276,-0.6531,5,0,0,0,0,0
37.4796,-9.449,0.276,-0.6533,5,0,0,0,0,0
38.2727,-10.0581,0.276,-0.6521,5,0,0,0,0,0
39.0651,-10.6681,0.276,-0.6481,5,0,0,0,0,0
39.8618,-11.2725,0.276,-0.6398,5,0,0,0,0,0
40.6668,-11.8657,0.276,-0.6268,5,0,0,0,0,0
41.4808,-12.4465,0.276,-0.6113,5,0,0,0,0,0
42.3042,-13.0139,0.276,-0.5951,5,0,0,0,0,0
43.1368,-13.5677,0.276,-0.5785,5,0,0,0,0,0
43.9786,-14.1076,0.276,-0.5619,5,0,0,0,0,0
44.8292,-14.6334,0.276,-0.5452,5,0,0,0,0,0
45.6885,-15.1448,0.276,-0.5285,5,0,0,0,0,0
46.5562,-15.6419,0.276,-0.5118,5,0,0,0,0,0
47.4319,-16.1247,0.276,-0.4945,5,0,0,0,0,0
48.3147,-16.5943,0.276,-0.4746,5,0,0,0,0,0
49.2059,-17.0477,0.276,-0.451,5,0,0,0,0,0
50.1103,-17.4742,0.276,-0.4222,5,0,0,0,0,0
51.0286,-17.8698,0.276,-0.3888,5,0,0,0,0,0
51.9603,-18.2331,0.276,-0.3539,5,0,0,0,0,0
52.9043,-18.5629,0.276,-0.3186,5,0,0,0,0,0
53.8594,-18.859,0.276,-0.2833,5,0,0,0,0,0
54.8242,-19.1216,0.276,-0.2482,5,0,0,0,0,0
55.7974,-19.3514,0.276,-0.2117,5,0,0,0,0,0
56.7775,-19.5487,0.276,-0.1725,5,0,0,0,0,0
57.7651,-19.7047,0.276,-0.1296,5,0,0,0,0,0
58.7592,-19.8121,0.276,-0.0817,5,0,0,0,0,0
59.7574,-19.8698,0.276,-0.0312,5,0,0,0,0,0
60.7573,-19.8759,0.276,0.0201,5,0,0,0,0,0
61.7561,-19.8301,0.276,0.072,5,0,0,0,0,0
62.7512,-19.7319,0.276,0.1241,5,0,0,0,0,0
63.7398,-19.5822,0.276,0.1762,5,0,0,0,0,0
64.7194,-19.3817,0.276,0.228,5,0,0,0,0,0
65.6872,-19.1304,0.276,0.28,5,0,0,0,0,0
66.6407,-18.8295,0.276,0.332,5,0,0,0,0,0
67.5772,-18.4791,0.276,0.3841,5,0,0,0,0,0
68.4941,-18.0802,0.276,0.4363,5,0,0,0,0,0
69.389,-17.6342,0.276,0.4883,5,0,0,0,0,0
70.2594,-17.1421,0.276,0.5401,5,0,0,0,0,0
71.1033,-16.6057,0.276,0.5917,5,0,0,0,0,0
71.9185,-16.0267,0.276,0.643,5,0,0,0,0,0
72.703,-15.4068,0.276,0.6942,5,0,0,0,0,0
73.4549,-14.7477,0.276,0.7452,5,0,0,0,0,0
74.1722,-14.0511,0.276,0.7963,5,0,0,0,0,0
74.853,-13.3188,0.276,0.8473,5,0,0,0,0,0
75.4956,-12.5528,0.276,0.8984,5,0,0,0,0,0
76.0981,-11.7547,0.276,0.9492,5,0,0,0,0,0
76.6585,-10.9266,0.276,1,5,0,0,0,0,0
77.1772,-10.0718,0.276,1.0502,5,0,0,0,0,0
77.6529,-9.1923,0.276,1.0998,5,0,0,0,0,0
78.0846,-8.2904,0.276,1.1499,5,0,0,0,0,0
78.4709,-7.3682,0.276,1.1999,5,0,0,0,0,0
78.809,-6.4271,0.276,1.2503,5,0,0,0,0,0
79.0995,-5.4704,0.276,1.3009,5,0,0,0,0,0
79.3423,-4.5004,0.276,1.3508,5,0,0,0,0,0
79.536,-3.5194,0.276,1.4009,5,0,0,0,0,0
79.6805,-2.5301,0.276,1.451,5,0,0,0,0,0
79.7754,-1.5347,0.276,1.5014,5,0,0,0,0,0
79.82,-0.5358,0.276,1.5523,5,0,0,0,0,0
79.8136,0.4641,0.276,1.6035,5,0,0,0,0,0
79.7555,1.4623,0.276,1.6553,5,0,0,0,0,0
79.6455,2.4561,0.276,1.7075,5,0,0,0,0,0
79.4833,3.4427,0.276,1.76,5,0,0,0,0,0
79.2698,4.4195,0.276,1.8125,5,0,0,0,0,0
79.0048,5.3837,0.276,1.865,5,0,0,0,0,0
78.6896,6.3326,0.276,1.9175,5,0,0,0,0,0
78.3253,7.2637,0.276,1.9697,5,0,0,0,0,0
77.9128,8.1746,0.276,2.0218,5,0,0,0,0,0
77.4537,9.0628,0.276,2.0737,5,0,0,0,0,0
76.9492,9.9261,0.276,2.1255,5,0,0,0,0,0
76.4006,10.7621,0.276,2.1772,5,0,0,0,0,0
75.8096,11.5686,0.276,2.2288,5,0,0,0,0,0
75.1779,12.3437,0.276,2.2802,5,0,0,0,0,0
74.5072,13.0853,0.276,2.3316,5,0,0,0,0,0
73.7995,13.7916,0.276,2.3828,5,0,0,0,0,0
73.0566,14.4609,0.276,2.4341,5,0,0,0,0,0
72.2805,15.0913,0.276,2.4853,5,0,0,0,0,0
71.4729,15.6808,0.276,2.5368,5,0,0,0,0,0
70.6358,16.2277,0.276,2.5882,5,0,0,0,0,0
69.772,16.7313,0.276,2.6395,5,0,0,0,0,0
68.8833,17.1895,0.276,2.6902,5,0,0,0,0,0
67.9723,17.6019,0.276,2.7406,5,0,0,0,0,0
67.0421,17.9686,0.276,2.7902,5,0,0,0,0,0
66.0952,18.2896,0.276,2.8392,5,0,0,0,0,0
65.1339,18.5648,0.276,2.8884,5,0,0,0,0,0
64.1604,18.793,0.276,2.9382,5,0,0,0,0,0
63.1765,18.9711,0.276,2.9891,5,0,0,0,0,0
62.1847,19.0977,0.276,3.0413,5,0,0,0,0,0
61.1876,19.172,0.276,3.0939,5,0,0,0,0,0
60.1879,19.1932,0.276,-3.1363,5,0,0,0,0,0
59.1886,19.1617,0.276,-3.0832,5,0,0,0,0,0
58.1923,19.0768,0.276,-3.03,5,0,0,0,0,0
57.2019,18.939,0.276,-2.9767,5,0,0,0,0,0
56.2203,18.7487,0.276,-2.9235,5,0,0,0,0,0
55.2503,18.5063,0.276,-2.8703,5,0,0,0,0,0
54.2944,18.2128,0.276,-2.8172,5,0,0,0,0,0
53.3555,17.869,0.276,-2.7643,5,0,0,0,0,0
52.4361,17.476,0.276,-2.7114,5,0,0,0,0,0
51.5387,17.035,0.276,-2.6588,5,0,0,0,0,0
50.6657,16.5475,0.276,-2.6064,5,0,0,0,0,0
49.8194,16.0151,0.276,-2.5543,5,0,0,0,0,0
49.0018,15.4394,0.276,-2.5025,5,0,0,0,0,0
48.215,14.8224,0.276,-2.4509,5,0,0,0,0,0
47.461,14.1657,0.276,-2.3995,5,0,0,0,0,0
46.7417,13.4712,0.276,-2.3483,5,0,0,0,0,0
46.0588,12.7408,0.276,-2.2971,5,0,0,0,0,0
45.4138,11.9767,0.276,-2.246,5,0,0,0,0,0
44.8088,11.1807,0.276,-2.1948,5,0,0,0,0,0
44.2457,10.3544,0.276,-2.1433,5,0,0,0,0,0
43.7256,9.5004,0.276,-2.0917,5,0,0,0,0,0
43.2505,8.6207,0.276,-2.04,5,0,0,0,0,0
42.8215,7.7175,0.276,-1.9882,5,0,0,0,0,0
42.44,6.7932,0.276,-1.9363,5,0,0,0,0,0
42.107,5.8504,0.276,-1.8844,5,0,0,0,0,0
41.8233,4.8916,0.276,-1.8324,5,0,0,0,0,0
41.5897,3.9194,0.276,-1.7804,5,0,0,0,0,0
41.4069,2.9364,0.276,-1.7282,5,0,0,0,0,0
41.2757,1.9451,0.276,-1.6758,5,0,0,0,0,0
41.1969,0.9484,0.276,-1.6229,5,0,0,0,0,0
41.171,-0.0512,0.276,-1.5698,5,0,0,0,0,0
41.1986,-1.0507,0.276,-1.5165,5,0,0,0,0,0
41.2796,-2.0473,0.276,-1.463,5,0,0,0,0,0
41.4137,-3.0381,0.276,-1.4096,5,0,0,0,0,0
41.6004,-4.0204,0.276,-1.3563,5,0,0,0,0,0
41.8393,-4.9913,0.276,-1.3029,5,0,0,0,0,0
42.1297,-5.9481,0.276,-1.2496,5,0,0,0,0,0
42.4706,-6.8881,0.276,-1.1964,5,0,0,0,0,0
42.861,-7.8086,0.276,-1.1433,5,0,0,0,0,0
43.2996,-8.7072,0.276,-1.0906,5,0,0,0,0,0
43.7848,-9.5814,0.276,-1.038,5,0,0,0,0,0
44.3152,-10.4291,0.276,-0.9858,5,0,0,0,0,0
44.8889,-11.248,0.276,-0.9337,5,0,0,0,0,0
45.5045,-12.0359,0.276,-0.8819,5,0,0,0,0,0
46.1599,-12.791,0.276,-0.8301,5,0,0,0,0,0
46.8534,-13.5114,0.276,-0.7784,5,0,0,0,0,0
47.5832,-14.1949,0.276,-0.7267,5,0,0,0,0,0
48.3475,-14.8396,0.276,-0.6749,5,0,0,0,0,0
49.144,-15.444,0.276,-0.6231,5,0,0,0,0,0
49.9707,-16.0064,0.276,-0.5711,5,0,0,0,0,0
50.8257,-16.5248,0.276,-0.5189,5,0,0,0,0,0
51.7066,-16.9978,0.276,-0.4666,5,0,0,0,0,0
52.611,-17.4243,0.276,-0.4142,5,0,0,0,0,0
53.5371,-17.8015,0.276,-0.3628,5,0,0,0,0,0
54.4834,-18.125,0.276,-0.3172,5,0,0,0,0,0
55.4448,-18.4012,0.276,-0.2819,5,0,0,0,0,0
56.4111,-18.6585,0.276,-0.2613,5,0,0,0,0,0
57.3792,-18.909,0.276,-0.2536,5,0,0,0,0,0
58.3479,-19.1572,0.276,-0.2511,5,0,0,0,0,0
59.3168,-19.4048,0.276,-0.2503,5,0,0,0,0,0
60.2857,-19.6524,0.276,-0.2501,5,0,0,0,0,0
61.2546,-19.8998,0.276,-0.2501,5,0,0,0,0,0
62.2235,-20.1472,0.276,-0.25,5,0,0,0,0,0
63.1924,-20.3946,0.276,-0.2499,5,0,0,0,0,0
64.1614,-20.6419,0.276,-0.2498,5,0,0,0,0,0
65.1303,-20.8891,0.276,-0.2497,5,0,0,0,0,0
66.0993,-21.1362,0.276,-0.2496,5,0,0,0,0,0
67.0683,-21.3832,0.276,-0.2495,5,0,0,0,0,0
68.0374,-21.6301,0.276,-0.2494,5,0,0,0,0,0
69.0065,-21.8768,0.276,-0.2493,5,0,0,0,0,0
69.9756,-22.1235,0.276,-0.2492,5,0,0,0,0,0
70.9447,-22.37,0.276,-0.249,5,0,0,0,0,0
71.9139,-22.6164,0.276,-0.2489,5,0,0,0,0,0
72.8831,-22.8627,0.276,-0.2487,5,0,0,0,0,0
