x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
100.6936,-90.6343,1.4069,-2.6418,5,0,0,0,0,0
99.8113,-91.1049,1.3945,-2.6529,5,0,0,0,0,0
98.9281,-91.5739,1.3821,-2.6536,5,0,0,0,0,0
98.0445,-92.0423,1.3696,-2.6526,5,0,0,0,0,0
97.1624,-92.5132,1.3594,-2.6459,5,0,0,0,0,0
96.2976,-93.0153,1.3512,-2.598,5,0,0,0,0,0
95.4381,-93.5264,1.3407,-2.6137,5,0,0,0,0,0
94.5662,-94.0159,1.3332,-2.6511,5,0,0,0,0,0
93.6757,-94.4708,1.3284,-2.6877,5,0,0,0,0,0
92.7683,-94.8913,1.3267,-2.7152,5,0,0,0,0,0
91.8518,-95.2913,1.3252,-2.7412,5,0,0,0,0,0
90.9268,-95.6712,1.315,-2.7601,5,0,0,0,0,0
89.9953,-96.0347,1.3048,-2.7789,5,0,0,0,0,0
89.057,-96.3808,1.2979,-2.7888,5,0,0,0,0,0
88.1173,-96.7227,1.2886,-2.7878,5,0,0,0,0,0
87.1809,-97.0738,1.284,-2.7793,5,0,0,0,0,0
86.2472,-97.4318,1.2711,-2.7761,5,0,0,0,0,0
85.315,-97.7936,1.2582,-2.7672,5,0,0,0,0,0
84.382,-98.1534,1.2408,-2.7904,5,0,0,0,0,0
83.435,-98.474,1.2368,-2.8461,5,0,0,0,0,0
82.4763,-98.7587,1.241,-2.8492,5,0,0,0,0,0
81.518,-99.0448,1.2484,-2.8506,5,0,0,0,0,0
80.5598,-99.3309,1.256,-2.8516,5,0,0,0,0,0
79.5979,-99.6027,1.2637,-2.907,5,0,0,0,0,0
78.6258,-99.8381,1.2747,-2.8903,5,0,0,0,0,0
77.6571,-100.0863,1.2787,-2.8916,5,0,0,0,0,0
76.6886,-100.3355,1.2863,-2.8821,5,0,0,0,0,0
75.7254,-100.6038,1.2932,-2.8544,5,0,0,0,0,0
74.7689,-100.8958,1.2995,-2.8355,5,0,0,0,0,0
73.8178,-101.2046,1.2958,-2.8248,5,0,0,0,0,0
72.8688,-101.5198,1.298,-2.8237,5,0,0,0,0,0
71.9194,-101.8339,1.2914,-2.8409,5,0,0,0,0,0
