x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-12.4891,-23.0343,1.2470,-0.2736,4.0000,0,0,0,0,0
-11.5264,-23.3048,1.2552,-0.2733,6.4344,0,0,0,0,0
-10.5647,-23.5789,1.2754,-0.2721,8.1733,0,0,0,0,0
-9.6000,-23.8421,1.2948,-0.2455,9.6023,0,0,0,0,0
-8.6262,-24.0694,1.3095,-0.2125,10.8446,0,0,0,0,0
-7.6485,-24.2793,1.3203,-0.2333,11.9586,0,0,0,0,0
-6.6753,-24.5088,1.3015,-0.1923,12.9773,0,0,0,0,0
-5.6880,-24.6705,1.2983,-0.1636,13.9216,0,0,0,0,0
-4.7011,-24.8316,1.2973,-0.1636,14.8058,0,0,0,0,0
-3.7139,-24.9909,1.2884,-0.1445,15.6402,0,0,0,0,0
-2.7239,-25.1319,1.2659,-0.1439,16.4322,0,0,0,0,0
-1.7343,-25.2759,1.2439,-0.1527,17.1877,0,0,0,0,0
-0.7458,-25.4270,1.2529,-0.1402,17.9114,0,0,0,0,0
0.2446,-25.5652,1.2597,-0.1329,18.6070,0,0,0,0,0
1.2367,-25.6905,1.2702,-0.1191,19.2775,0,0,0,0,0
2.2300,-25.8063,1.2944,-0.1251,19.9255,0,0,0,0,0
3.2216,-25.9356,1.3273,-0.1065,20.0000,0,0,0,0,0
4.2180,-26.0210,1.3219,-0.0760,20.0000,0,0,0,0,0
5.2155,-26.0922,1.3250,-0.0706,20.0000,0,0,0,0,0
6.2132,-26.1605,1.3369,-0.0642,20.0000,0,0,0,0,0
7.2108,-26.2296,1.3468,-0.0648,19.3578,0,0,0,0,0
8.2085,-26.2976,1.3552,-0.0644,18.6902,0,0,0,0,0
9.2063,-26.3630,1.3674,-0.0661,17.9978,0,0,0,0,0
10.2038,-26.4331,1.3740,-0.0763,17.9978,0,0,0,0,0
11.2006,-26.5138,1.3917,-0.0804,18.6902,0,0,0,0,0
12.1976,-26.5908,1.4090,-0.0685,19.3578,0,0,0,0,0
13.1963,-26.6159,1.4125,0.0378,20.0000,0,0,0,0,0
14.1955,-26.5630,1.4199,0.0507,20.0000,0,0,0,0,0
15.1934,-26.4989,1.4223,0.0595,20.0000,0,0,0,0,0
16.1917,-26.4399,1.4256,0.0549,20.0000,0,0,0,0,0
17.1897,-26.3791,1.4329,0.0357,20.0000,0,0,0,0,0
18.1891,-26.3434,1.4484,0.0391,20.0000,0,0,0,0,0
19.1887,-26.3138,1.4655,0.0378,19.5198,0,0,0,0,0
20.1881,-26.2803,1.4826,0.0224,18.8580,0,0,0,0,0
21.1881,-26.2662,1.4966,0.0155,18.1720,0,0,0,0,0
22.1876,-26.2396,1.4995,0.0503,17.4591,0,0,0,0,0
23.1855,-26.1774,1.4927,0.0869,16.7158,0,0,0,0,0
24.1799,-26.0697,1.4858,0.1039,15.9379,0,0,0,0,0
25.1743,-25.9637,1.4790,0.1053,15.1200,0,0,0,0,0
26.1682,-25.8541,1.4697,0.1131,14.2553,0,0,0,0,0
27.1624,-25.7463,1.4655,0.0905,13.3346,0,0,0,0,0
28.1590,-25.6639,1.4652,0.0881,12.3454,0,0,0,0,0
29.1529,-25.5532,1.4621,0.1115,11.2698,0,0,0,0,0
30.1447,-25.4256,1.4750,0.1410,10.0800,0,0,0,0,0
31.1346,-25.2838,1.4821,0.1504,8.7295,0,0,0,0,0
32.1208,-25.1182,1.4840,0.1712,7.1276,0,0,0,0,0
33.1051,-24.9426,1.4799,0.1355,5.0400,0,0,0,0,0
34.0939,-24.7928,1.4799,0.1779,0.0000,0,0,0,0,0
35.0783,-24.6167,1.4725,0.1762,0.0000,0,0,0,0,0
35.9494,-24.5101,1.4680,1.1645,0.0000,0,0,0,0,0
36.9259,-24.2898,1.4626,0.1753,0.0000,0,0,0,0,0
37.9107,-24.1145,1.4551,0.1827,0.0000,0,0,0,0,0
38.8938,-23.9315,1.4609,0.1849,0.0000,0,0,0,0,0
